7zip 24.09-3
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250127.1-2
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.7-4
acpid 2.0.34-2
ada 3.2.1-1
adapta-maia-theme 3.94.0.149-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
advancecomp 2.6-2
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
alarm-clock-applet 1:0.4.1-4
alsa-card-profiles 1:1.4.2-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-1
alsa-oss 1.1.8-6
alsa-plugins 1:1.2.12-4
alsa-tools 1.2.14-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
android-apktool-bin 2.11.1-1
aom 3.12.1-1
apache-tools 2.4.63-1
apparmor 4.1.0-4
appstream 1.0.5-2
appstream-glib 0.8.3-2
apr 1.7.5-3
apr-util 1.6.3-2
arandr 0.1.11-4
arch-wiki-docs 20250402-1
archlinux-appstream-data 20250317-1
archlinux-keyring 20250430.1-1
arduino-cli 1.1.1-1
argon2 20190702-6
aribb24 1.0.3-4
artwork-i3 20190912-2
asdf-vm 0.17.0-1
at-spi2-core 2.56.2-1
atkmm 2.28.4-1
atomicparsley 20240608.083822.1ed9031-1
atools 20.2.2-4
attica 6.14.0-1
attr 2.5.2-1
atuin 18.6.1-1
audacity 1:3.7.3-2
audit 4.0.3-1
autoconf 2.72-1
autofs 5.1.9-5
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
b43-fwcutter 019-6
babl 0.1.114-1
base 3-3
bash 5.2.037-4
bat 0.25.0-4
bc 1.08.1-1
bcprov 1.80-1
beekeeper-studio-bin 5.2.10-1
bind 9.20.9-0.1
binutils 2.44+r94+gfe459e33c676-1
bison 3.8.2-8
bitwarden 2025.4.2-1
bitwarden-cli 2025.4.0-1
blas 3.12.1-2
blueman 2.4.4-1
bluez 5.82-1
bluez-libs 5.82-1
bluez-utils 5.82-1
bmenu 0.26-1
boost-libs 1.88.0-2
botan 3.8.1-1
botan2 2.19.5-2
bottom 0.10.2-1
box2d 3.1.0-1
breeze-icons 6.14.0-1
bridge-utils 1.7.1-2
brltty 6.7-5
brn-git r31.454e213-1
broot 1.46.4-1
brotli 1.1.0-3
bruno-bin 2.3.0-1
btop 1.4.3-2
btrfs-progs 6.14-1
bubblewrap 0.11.0-1
busybox 1.36.1-2
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.111-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairo-perl 1.109-5
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
capstone 5.0.6-1
cblas 3.12.1-2
ccache 4.11.3-1
cdparanoia 10.2-9
cdrtools 3.02a09-6
cfitsio 1:4.6.2-1
chafa 1.14.5-1
cheat-bin 4.4.2-1
chromaprint 1.5.1-10
chromium 137.0.7151.55-1
cifs-utils 7.3-1
ckbcomp 1.227-2
clang 19.1.7-2
clang18 18.1.8-2
clipit 1:1.4.5+25+gf35db54-1
cloc 2.04-1
clock-tui 0.6.0-1
clucene 2.3.3.4-16
clutter 1.26.4-3
clutter-gtk 1.8.4-4
cmake 4.0.2-1
cmatrix 2.0-3
cmus 2.12.0-3
cogl 1.22.8-3
colord 1.4.7-2
colord-sane 1.4.7-2
compiler-rt 19.1.7-1
compiler-rt18 18.1.8-1
confuse 3.3-4
conky 1.22.1-2
conky-i3 20210907-1
containerd 2.1.0-1
coreutils 9.7-1
cpio 2.15-2
cppdap 1.58.0-2
cpupower 6.14-1
cronie 1.7.2-1
cryptsetup 2.7.5-2
cups 2:2.4.12-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
curl 8.13.0-2
curlie 1.8.2-1
dav1d 1.5.1-1
db 6.2.32-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.114-1
dbus-units 36-4
dconf 0.40.0-3
default-cursors 3-1
deluge 1:2.2.0-1
deno 2.2.9-1
desktop-file-utils 0.28-1
device-mapper 2.03.32-1
dfc 3.1.1-4
dhclient 4.4.3.P1-4
dhcpcd 10.2.2-1
dialog 1:1.3_20250116-1
