7zip 24.09-3
a52dec 0.8.0-2
aalib 1.4rc5-19
abseil-cpp 20250512.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
acorn 1:8.12.0-1
acpi 1.8-2
acpid 2.0.34-2
act 0.2.80-1
ada 3.2.7-1
adapta-maia-theme 3.94.0.149-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
akonadi-contacts 25.04.3-1
alacritty 0.15.1-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-1
alsa-oss 1.1.8-6
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
android-studio 2025.1.2.11-1
android-tools 35.0.2-17
android-udev 20250525-1
antlr4-runtime 4.13.2-1
aom 3.12.1-1
apache-tools 2.4.63-1
apparmor 4.1.1-3
appimagelauncher 2.2.0-10
appstream 1.0.5-2
appstream-glib 0.8.3-2
apr 1.7.6-1
apr-util 1.6.3-2
arandr 0.1.11-4
arch-wiki-docs 20250801-1
archlinux-appstream-data 20250730-1
archlinux-keyring 20250807.1-1
argon2 20190702-6
aribb24 1.0.3-4
artwork-i3 20190912-2
asar 4.0.1-1
asdf-vm 0.16.7-1
at-spi2-core 2.56.4-1
atac 0.20.2-1
atkmm 2.28.4-1
atomicparsley 20240608.083822.1ed9031-1
atool 0.39.0-10
attica 6.17.0-1
attica5 5.116.0-1
attr 2.5.2-1
atuin 18.8.0-1
audit 4.0.5-1
augeas 1.14.1-4
auto-cpufreq 2.5.0-1
autoconf 2.72-1
autofs 5.1.9-5
automake 1.18.1-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
b43-fwcutter 019-6
babl 0.1.114-1
base 3-3
base-devel 1-3
bash 5.3.3-2
bash-completion 2.16.0-1
bat 0.25.0-4
bc 1.08.2-1
bcprov 1.80-1
beekeeper-studio-bin 5.1.5-1
bind 9.20.11-1
binutils 2.45+r8+g09be88bfb653-1
bison 3.8.2-8
bitwarden 2025.7.0-1
blas 3.12.1-2
blender-benchmark 1:3.1.0-1
blosc 1.21.6-1
blueman 2.4.6-1
bluez 5.83-1
bluez-libs 5.83-1
bluez-utils 5.83-1
bmenu 0.26-1
bmon 4.0-5
boost 1.88.0-3
boost-libs 1.88.0-3
borg 1.4.1-1
botan 3.8.1-1
botan2 2.19.5-2
bottom 0.11.0-1
box2d 3.1.1-1
breeze-icons 6.17.0-1
bridge-utils 1.7.1-2
brltty 6.7-5
brn-git r31.454e213-1
brotli 1.1.0-3
bruno-bin 2.0.1-1
btop 1.4.4-1
btrfs-progs 6.15-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.114-1
ca-certificates-utils 20240618-1
cadaver 0.26-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
calc 2.15.1.1-1
calcurse 4.8.2-1
calibre 8.7.0-1
cantarell-fonts 1:0.303.1-2
capstone 5.0.6-1
catdoc 0.95-6
cblas 3.12.1-2
ccache 4.11.3-2
cdparanoia 10.2-9
cfitsio 1:4.6.2-1
chafa 1.16.2-1
cheat 4.4.2-3
chmlib 0.40-8
chntpw 140201-5
chromaprint 1.5.1-10
chromium 139.0.7258.66-1
cifs-utils 7.4-1
ckbcomp 1.227-2
clang 20.1.8-1
clazy 1.15-1
cli11 2.5.0-1
clipit 1:1.4.5+25+gf35db54-1
clock-tui 0.5.0-2
clucene 2.3.3.4-16
cmake 4.0.3-1
cmark 0.31.1-1
cmatrix 2.0-4
cmus 2.12.0-3
colord 1.4.8-1
colord-sane 1.4.8-1
colorpicker 1.0.f5d441a-2
compiler-rt 20.1.8-1
composer 2.8.10-1
confuse 3.3-4
conky 1.22.2-1
conky-i3 20210907-1
containerd 2.1.4-1
convertlit 1.8-12
